crop,soil_type,soil_ph,temperature,humidity,rainfall,disease
Pepper,Clay,6.7,35,91,148,Bacterial Leaf Spot
Pepper,Sandy,5.5,26,89,46,Bacterial Spot
Tomato,Loamy,6.5,28,82,10,Early Blight
Tomato,Loamy,6.0,21,78,15,Early Blight
Tomato,Sandy,5.8,33,69,172,Healthy
Tomato,Loamy,5.6,30,89,56,Early Blight
Pepper,Sandy,6.2,25,69,41,Healthy
Potato,Loamy,6.3,19,95,135,Late Blight
Tomato,Clay,7.1,25,91,151,Late Blight
Pepper,Sandy,6.2,30,85,144,Bacterial Leaf Spot
Pepper,Sandy,5.7,24,59,65,Healthy
Potato,Sandy,6.1,29,70,83,Healthy
Tomato,Loamy,6.4,23,61,74,Healthy
Potato,Clay,7.1,31,89,52,Early Blight
Potato,Clay,7.2,26,57,70,Healthy
Pepper,Loamy,7.1,30,55,136,Healthy
Tomato,Clay,5.6,21,94,174,Late Blight
Potato,Loamy,6.8,24,59,17,Healthy
Pepper,Sandy,7.0,28,85,50,Bacterial Spot
Pepper,Loamy,6.1,24,62,71,Healthy
Tomato,Loamy,5.9,34,63,77,Healthy
Pepper,Sandy,6.1,30,72,153,Bacterial Spot
Tomato,Sandy,6.1,35,71,64,Early Blight
Pepper,Loamy,6.1,25,69,128,Healthy
Potato,Loamy,7.1,31,82,35,Early Blight
Pepper,Sandy,5.6,33,78,151,Bacterial Spot
Pepper,Sandy,6.8,19,74,107,Bacterial Spot
Pepper,Sandy,6.7,30,77,136,Bacterial Spot
Pepper,Loamy,7.1,21,72,129,Bacterial Spot
Tomato,Loamy,5.9,31,78,21,Early Blight
Pepper,Clay,5.5,35,55,180,Healthy
Pepper,Loamy,5.8,18,91,116,Bacterial Leaf Spot
Potato,Sandy,7.2,33,86,103,Late Blight
Pepper,Loamy,6.4,24,84,132,Bacterial Leaf Spot
Potato,Sandy,6.1,20,79,66,Early Blight
Tomato,Sandy,6.4,29,55,156,Healthy
Pepper,Clay,6.1,20,90,174,Bacterial Leaf Spot
Potato,Loamy,6.9,27,64,50,Healthy
Tomato,Loamy,6.7,33,78,68,Early Blight
Pepper,Clay,6.0,31,87,180,Bacterial Leaf Spot
Potato,Loamy,6.6,21,68,44,Healthy
Tomato,Clay,7.2,29,58,95,Healthy
Tomato,Clay,7.1,21,90,99,Early Blight
Potato,Loamy,6.9,33,85,131,Late Blight
Pepper,Loamy,7.1,31,56,51,Healthy
Pepper,Clay,6.4,22,58,152,Healthy
Pepper,Loamy,6.4,24,68,38,Healthy
Potato,Sandy,6.9,29,93,14,Early Blight
Pepper,Loamy,6.6,33,70,59,Healthy
Pepper,Sandy,7.0,31,79,164,Bacterial Spot
Pepper,Loamy,5.9,27,92,97,Bacterial Spot
Pepper,Loamy,5.7,33,94,75,Bacterial Spot
Potato,Sandy,5.7,35,67,147,Healthy
Pepper,Sandy,6.9,32,80,167,Bacterial Spot
Pepper,Clay,6.1,29,81,87,Bacterial Spot
Pepper,Clay,6.5,34,79,67,Bacterial Spot
Tomato,Clay,6.9,35,80,137,Early Blight
Pepper,Clay,6.2,35,94,85,Bacterial Spot
Pepper,Loamy,6.7,27,78,71,Bacterial Spot
Pepper,Clay,6.3,25,91,90,Bacterial Spot
Potato,Clay,6.4,25,92,85,Early Blight
Tomato,Clay,7.0,23,91,130,Late Blight
